comment_id,survey_id,guest_id,store_id,comment_date,guest_segment,visit_channel,comment_text,primary_theme,secondary_theme,star_rating,sentiment_label,data_source
CMT-000016,SVY-000016,GST-000016,BB-067,2024-05-08,occasional_guest,mobile_order,"Mobile ordering was easy, but my drink was not ready when I arrived.",mobile_app_issues,,3,neutral,synthetic
CMT-000017,SVY-000017,GST-000017,BB-054,2024-01-10,loyalty_regular,mobile_order,Floor near the pickup area was messy during peak hours and rewards did not feel worthwhile.,cleanliness,rewards_value,5,negative,synthetic
CMT-000018,SVY-000018,GST-000018,BB-022,2024-04-17,at_risk_guest,drive_thru,The line took forever even though there were only three people ahead of me.,speed_of_service,,3,negative,synthetic
CMT-000019,SVY-000019,GST-000019,BB-001,2024-03-03,seasonal_product_explorer,drive_thru,Window team was fast but the order was correct at pickup.,drive_thru_experience,,4,positive,synthetic
CMT-000020,SVY-000020,GST-000020,BB-067,2024-03-26,at_risk_guest,in_store,Drive-thru handoff was smooth even with a long line.,drive_thru_experience,,2,neutral,synthetic
CMT-000021,SVY-000021,GST-000021,BB-020,2024-04-14,seasonal_product_explorer,in_store,My order was correct and the pickup shelf was confusing and the line moved reasonably.,order_accuracy,speed_of_service,5,positive,synthetic
CMT-000022,SVY-000022,GST-000022,BB-044,2024-06-18,loyalty_regular,in_store,Birthday reward made me feel valued as a member.,rewards_value,,5,positive,synthetic
CMT-000023,SVY-000023,GST-000023,BB-027,2024-01-25,loyalty_regular,in_store,Trash bins were overflowing near the condiment bar.,cleanliness,staff_friendliness,5,positive,synthetic
CMT-000024,SVY-000024,GST-000024,BB-069,2024-02-23,at_risk_guest,delivery,The store was clean and the cashier was helpful.,staff_friendliness,,2,neutral,synthetic
CMT-000025,SVY-000025,GST-000025,BB-050,2024-04-19,loyalty_regular,in_store,Drive-thru wait felt longer than the in-store line today.,drive_thru_experience,,4,neutral,synthetic
CMT-000026,SVY-000026,GST-000026,BB-013,2024-06-19,at_risk_guest,in_store,Seasonal menu items are creative but portion sizes feel small.,seasonal_menu_interest,,5,neutral,synthetic
CMT-000027,SVY-000027,GST-000027,BB-024,2024-02-03,occasional_guest,drive_thru,"The latte tasted different than usual, and the line moved reasonably.",speed_of_service,,4,positive,synthetic
CMT-000028,SVY-000028,GST-000028,BB-045,2024-06-21,at_risk_guest,in_store,The store was clean and the cashier was helpful.,staff_friendliness,,4,positive,synthetic
CMT-000029,SVY-000029,GST-000029,BB-049,2024-01-10,loyalty_regular,delivery,The latte tasted different than usual and did not match my last visit.,drink_consistency,,4,negative,synthetic
CMT-000030,SVY-000030,GST-000030,BB-072,2024-05-15,loyalty_regular,delivery,Morning rush staffing could not keep up with the volume at the counter.,speed_of_service,,4,positive,synthetic
CMT-000031,SVY-000031,GST-000031,BB-037,2024-04-15,at_risk_guest,in_store,"I like the seasonal drinks, but the price feels high for the size.",price_value,,2,negative,synthetic
CMT-000032,SVY-000032,GST-000032,BB-043,2024-01-08,at_risk_guest,drive_thru,The latte tasted different than usual and did not match my last visit and the wait felt unacceptable.,drink_consistency,speed_of_service,4,neutral,synthetic
CMT-000033,SVY-000033,GST-000033,BB-047,2024-06-09,at_risk_guest,drive_thru,"The latte tasted different than usual, and the line moved reasonably but the seating area needed attention.",speed_of_service,cleanliness,2,positive,synthetic
CMT-000034,SVY-000034,GST-000034,BB-019,2024-02-29,seasonal_product_explorer,mobile_order,Drive-thru lane was backed up and the speaker was hard to hear.,drive_thru_experience,,5,negative,synthetic
CMT-000035,SVY-000035,GST-000035,BB-064,2024-03-06,at_risk_guest,drive_thru,The rewards program does not feel as valuable as it used to but the staff was friendly throughout.,rewards_value,staff_friendliness,3,negative,synthetic
CMT-000036,SVY-000036,GST-000036,BB-085,2024-03-21,seasonal_product_explorer,in_store,Loved the new seasonal drink and would order again.,seasonal_menu_interest,,5,neutral,synthetic
CMT-000037,SVY-000037,GST-000037,BB-069,2024-04-13,seasonal_product_explorer,drive_thru,Tier benefits are unclear and hard to redeem.,rewards_value,,4,positive,synthetic
CMT-000038,SVY-000038,GST-000038,BB-001,2024-01-31,occasional_guest,mobile_order,Menu feels repetitive for frequent visitors.,seasonal_menu_interest,,3,positive,synthetic
CMT-000039,SVY-000039,GST-000039,BB-085,2024-02-14,at_risk_guest,in_store,Received the wrong milk alternative twice in one week.,order_accuracy,,3,neutral,synthetic
CMT-000040,SVY-000040,GST-000040,BB-063,2024-03-31,price_sensitive_guest,delivery,The espresso tasted burnt today even though it is usually solid.,drink_consistency,,4,positive,synthetic
CMT-000041,SVY-000041,GST-000041,BB-071,2024-02-25,seasonal_product_explorer,mobile_order,Trash bins were overflowing near the condiment bar.,cleanliness,,5,neutral,synthetic
CMT-000042,SVY-000042,GST-000042,BB-007,2024-04-06,loyalty_regular,in_store,Points never posted after my last three visits and quality was not consistent.,rewards_value,drink_consistency,5,positive,synthetic
CMT-000043,SVY-000043,GST-000043,BB-074,2024-06-23,loyalty_regular,drive_thru,Drink quality feels inconsistent across visits to this location and value was fair today.,drink_consistency,price_value,5,positive,synthetic
CMT-000045,SVY-000045,GST-000045,BB-019,2024-04-22,loyalty_regular,drive_thru,Loved the new seasonal drink and would order again.,seasonal_menu_interest,,3,positive,synthetic
CMT-000046,SVY-000046,GST-000046,BB-039,2024-02-17,seasonal_product_explorer,mobile_order,"The latte tasted different than usual, and the line took forever.",speed_of_service,,5,negative,synthetic
CMT-000047,SVY-000047,GST-000047,BB-082,2024-06-10,price_sensitive_guest,in_store,Mobile order instructions were confusing at this location.,mobile_app_issues,,3,neutral,synthetic
CMT-000048,SVY-000048,GST-000048,BB-020,2024-01-18,occasional_guest,in_store,My order was wrong and the pickup shelf was confusing and value was fair today.,order_accuracy,price_value,4,negative,synthetic
CMT-000049,SVY-000049,GST-000049,BB-084,2024-01-12,loyalty_regular,in_store,The latte tasted different than usual and did not match my last visit.,drink_consistency,,3,positive,synthetic
CMT-000050,SVY-000050,GST-000050,BB-087,2024-02-28,mobile_first_guest,mobile_order,Floor near the pickup area was messy during peak hours.,cleanliness,,5,negative,synthetic
CMT-000051,SVY-000051,GST-000051,BB-079,2024-02-22,mobile_first_guest,in_store,Points never posted after my last three visits.,rewards_value,,3,negative,synthetic
CMT-000052,SVY-000052,GST-000052,BB-051,2024-04-29,occasional_guest,drive_thru,"Mobile ordering was easy, but my drink was not ready when I arrived and the wait felt unacceptable.",mobile_app_issues,speed_of_service,5,negative,synthetic
CMT-000053,SVY-000053,GST-000053,BB-084,2024-03-01,mobile_first_guest,mobile_order,Birthday reward made me feel valued as a member.,rewards_value,,4,negative,synthetic
CMT-000054,SVY-000054,GST-000054,BB-077,2024-05-14,mobile_first_guest,mobile_order,App crashed while I tried to customize my drink.,mobile_app_issues,,3,positive,synthetic
CMT-000055,SVY-000055,GST-000055,BB-050,2024-06-13,at_risk_guest,delivery,Trash bins were overflowing near the condiment bar.,cleanliness,,2,negative,synthetic
CMT-000056,SVY-000056,GST-000056,BB-035,2024-03-17,occasional_guest,in_store,Loved the new seasonal drink and would order again.,seasonal_menu_interest,,4,positive,synthetic
CMT-000057,SVY-000057,GST-000057,BB-061,2024-02-10,occasional_guest,drive_thru,Drive-thru handoff was smooth even with a long line.,drive_thru_experience,,4,positive,synthetic
CMT-000058,SVY-000058,GST-000058,BB-089,2024-05-26,loyalty_regular,drive_thru,The line moved reasonably even though there were only three people ahead of me.,speed_of_service,,5,positive,synthetic
CMT-000059,SVY-000059,GST-000059,BB-029,2024-06-28,at_risk_guest,in_store,Birthday reward made me feel valued as a member but mobile ordering was easy.,rewards_value,mobile_app_issues,4,positive,synthetic
CMT-000060,SVY-000060,GST-000060,BB-088,2024-01-12,occasional_guest,in_store,Order was accurate and the barista confirmed my preferences.,order_accuracy,,5,negative,synthetic
CMT-000061,SVY-000061,GST-000061,BB-072,2024-04-12,mobile_first_guest,mobile_order,"The latte tasted different than usual, and the line moved reasonably.",speed_of_service,,3,positive,synthetic
CMT-000062,SVY-000062,GST-000062,BB-042,2024-05-21,at_risk_guest,drive_thru,Loved the new seasonal drink and would order again and the line moved reasonably.,seasonal_menu_interest,speed_of_service,3,positive,synthetic
CMT-000063,SVY-000063,GST-000063,BB-016,2024-01-21,loyalty_regular,drive_thru,The store was clean and the cashier was helpful.,staff_friendliness,,5,positive,synthetic
CMT-000064,SVY-000064,GST-000064,BB-021,2024-01-17,occasional_guest,delivery,Menu feels repetitive for frequent visitors.,seasonal_menu_interest,,5,negative,synthetic
CMT-000065,SVY-000065,GST-000065,BB-017,2024-05-12,at_risk_guest,in_store,My usual oat milk cortado was weaker and milkier than normal and I liked the seasonal option.,drink_consistency,seasonal_menu_interest,2,negative,synthetic
CMT-000066,SVY-000066,GST-000066,BB-022,2024-04-17,price_sensitive_guest,in_store,"The latte tasted different than usual, and the line moved reasonably.",speed_of_service,,4,positive,synthetic
CMT-000067,SVY-000067,GST-000067,BB-077,2024-04-18,price_sensitive_guest,in_store,Pickup timing was off and the ready notification came late.,mobile_app_issues,,4,positive,synthetic
CMT-000068,SVY-000068,GST-000068,BB-014,2024-05-14,loyalty_regular,mobile_order,Pickup timing was off and the ready notification came late and the wait felt unacceptable.,mobile_app_issues,speed_of_service,3,neutral,synthetic
CMT-000069,SVY-000069,GST-000069,BB-069,2024-02-13,price_sensitive_guest,in_store,The store was clean and the cashier was helpful and loyalty perks helped.,staff_friendliness,rewards_value,3,negative,synthetic
CMT-000070,SVY-000070,GST-000070,BB-068,2024-05-21,seasonal_product_explorer,drive_thru,The line took forever even though there were only three people ahead of me.,speed_of_service,,4,negative,synthetic
CMT-000071,SVY-000071,GST-000071,BB-014,2024-05-30,occasional_guest,in_store,I like the seasonal drinks and wanted to try the new cold brew.,seasonal_menu_interest,,3,negative,synthetic
CMT-000072,SVY-000072,GST-000072,BB-072,2024-06-13,mobile_first_guest,in_store,My usual oat milk cortado was weaker and milkier than normal.,drink_consistency,,4,negative,synthetic
CMT-000073,SVY-000073,GST-000073,BB-077,2024-02-10,at_risk_guest,mobile_order,Customization notes were ignored on my mobile order and the line took forever.,order_accuracy,speed_of_service,3,negative,synthetic
CMT-000074,SVY-000074,GST-000074,BB-006,2024-02-05,at_risk_guest,drive_thru,Morning rush staffing could not keep up with the volume at the counter and the drive-thru was backed up.,speed_of_service,drive_thru_experience,4,negative,synthetic
CMT-000075,SVY-000075,GST-000075,BB-022,2024-04-13,occasional_guest,delivery,I waited far too long for a simple drip coffee order and the pickup shelf was confusing.,speed_of_service,order_accuracy,4,positive,synthetic
CMT-000076,SVY-000076,GST-000076,BB-090,2024-04-13,loyalty_regular,in_store,Points never posted after my last three visits but mobile ordering was easy.,rewards_value,mobile_app_issues,4,positive,synthetic
CMT-000077,SVY-000077,GST-000077,BB-078,2024-02-01,price_sensitive_guest,mobile_order,The latte tasted different than usual and did not match my last visit.,drink_consistency,,4,negative,synthetic
CMT-000079,SVY-000079,GST-000079,BB-037,2024-01-18,loyalty_regular,in_store,The store was clean and well maintained during a busy afternoon.,cleanliness,,5,positive,synthetic
CMT-000080,SVY-000080,GST-000080,BB-069,2024-04-22,loyalty_regular,mobile_order,Menu feels repetitive for frequent visitors.,seasonal_menu_interest,,4,positive,synthetic
CMT-000082,SVY-000082,GST-000082,BB-083,2024-05-10,at_risk_guest,in_store,Birthday reward made me feel valued as a member.,rewards_value,,4,negative,synthetic
CMT-000083,SVY-000083,GST-000083,BB-081,2024-03-22,occasional_guest,mobile_order,The line took forever even though there were only three people ahead of me and drive-thru service was smooth.,speed_of_service,drive_thru_experience,2,negative,synthetic
CMT-000084,SVY-000084,GST-000084,BB-079,2024-03-04,loyalty_regular,in_store,Promo redemption made this visit feel like a good deal.,price_value,,4,neutral,synthetic
CMT-000085,SVY-000085,GST-000085,BB-003,2024-06-24,at_risk_guest,drive_thru,Drive-thru wait felt longer than the in-store line today.,drive_thru_experience,,3,positive,synthetic
CMT-000086,SVY-000086,GST-000086,BB-014,2024-04-14,at_risk_guest,delivery,Trash bins were overflowing near the condiment bar.,cleanliness,,1,negative,synthetic
CMT-000087,SVY-000087,GST-000087,BB-075,2024-05-21,mobile_first_guest,drive_thru,Drive-thru lane was backed up and the speaker was hard to hear.,drive_thru_experience,,4,positive,synthetic
CMT-000088,SVY-000088,GST-000088,BB-016,2024-02-17,occasional_guest,mobile_order,Prices feel high for the cup size I received and the store was very clean.,price_value,cleanliness,4,negative,synthetic
CMT-000089,SVY-000089,GST-000089,BB-052,2024-03-19,occasional_guest,drive_thru,"The latte tasted different than usual, and the line took forever.",speed_of_service,seasonal_menu_interest,4,neutral,synthetic
CMT-000090,SVY-000090,GST-000090,BB-021,2024-01-16,occasional_guest,mobile_order,Menu feels repetitive for frequent visitors.,seasonal_menu_interest,,4,neutral,synthetic
CMT-000091,SVY-000091,GST-000091,BB-008,2024-03-07,mobile_first_guest,mobile_order,App crashed while I tried to customize my drink and quality was not consistent.,mobile_app_issues,drink_consistency,4,neutral,synthetic
CMT-000092,SVY-000092,GST-000092,BB-067,2024-05-19,loyalty_regular,mobile_order,My order was correct and the pickup shelf was confusing.,order_accuracy,,4,positive,synthetic
CMT-000093,SVY-000093,GST-000093,BB-047,2024-05-10,seasonal_product_explorer,mobile_order,Mobile order instructions were confusing at this location.,mobile_app_issues,,4,positive,synthetic
CMT-000094,SVY-000094,GST-000094,BB-085,2024-06-04,loyalty_regular,drive_thru,Team felt rushed and did not greet guests at the counter and the wait felt unacceptable.,staff_friendliness,speed_of_service,5,positive,synthetic
CMT-000095,SVY-000095,GST-000095,BB-051,2024-06-27,mobile_first_guest,drive_thru,"Mobile ordering was easy, but my drink was ready on time when I arrived.",mobile_app_issues,,4,positive,synthetic
CMT-000097,SVY-000097,GST-000097,BB-042,2024-06-22,loyalty_regular,mobile_order,The line moved reasonably even though there were only three people ahead of me.,speed_of_service,,5,positive,synthetic
CMT-000098,SVY-000098,GST-000098,BB-046,2024-06-21,occasional_guest,drive_thru,Birthday reward made me feel valued as a member and value was fair today.,rewards_value,price_value,4,positive,synthetic
CMT-000099,SVY-000099,GST-000099,BB-073,2024-03-19,price_sensitive_guest,in_store,"I like the seasonal drinks, but the price felt fair for the size.",price_value,staff_friendliness,5,positive,synthetic
CMT-000100,SVY-000100,GST-000100,BB-084,2024-02-06,loyalty_regular,delivery,The line moved reasonably even though there were only three people ahead of me.,speed_of_service,,4,positive,synthetic
CMT-000101,SVY-000101,GST-000101,BB-057,2024-01-05,occasional_guest,mobile_order,Barista was warm and remembered my usual order.,staff_friendliness,,3,neutral,synthetic
CMT-000102,SVY-000102,GST-000102,BB-017,2024-03-07,loyalty_regular,drive_thru,Team felt rushed and did not greet guests at the counter and the drink tasted off.,staff_friendliness,drink_consistency,4,positive,synthetic
CMT-000103,SVY-000103,GST-000103,BB-064,2024-02-27,at_risk_guest,in_store,I waited far too long for a simple drip coffee order.,speed_of_service,,2,negative,synthetic
CMT-000104,SVY-000104,GST-000104,BB-042,2024-06-01,at_risk_guest,drive_thru,Birthday reward made me feel valued as a member.,rewards_value,,3,positive,synthetic
CMT-000105,SVY-000105,GST-000105,BB-039,2024-01-02,mobile_first_guest,drive_thru,Team felt rushed and did not greet guests at the counter.,staff_friendliness,,4,positive,synthetic
CMT-000106,SVY-000106,GST-000106,BB-049,2024-03-09,mobile_first_guest,in_store,Mobile order instructions were confusing at this location.,mobile_app_issues,,3,positive,synthetic
CMT-000107,SVY-000107,GST-000107,BB-071,2024-04-02,price_sensitive_guest,delivery,The store was clean and well maintained during a busy afternoon.,cleanliness,,3,positive,synthetic
CMT-000108,SVY-000108,GST-000108,BB-045,2024-02-28,at_risk_guest,drive_thru,Barista was warm and remembered my usual order and the line took forever.,staff_friendliness,speed_of_service,3,negative,synthetic
CMT-000109,SVY-000109,GST-000109,BB-047,2024-05-09,seasonal_product_explorer,drive_thru,I waited far too long for a simple drip coffee order.,speed_of_service,,4,positive,synthetic
CMT-000110,SVY-000110,GST-000110,BB-018,2024-05-03,price_sensitive_guest,in_store,Drive-thru lane was backed up and the speaker was hard to hear.,drive_thru_experience,staff_friendliness,3,positive,synthetic
CMT-000111,SVY-000111,GST-000111,BB-004,2024-01-21,mobile_first_guest,in_store,"Mobile ordering was easy, but my drink was ready on time when I arrived.",mobile_app_issues,,4,positive,synthetic
CMT-000112,SVY-000112,GST-000112,BB-049,2024-04-03,loyalty_regular,drive_thru,The line moved reasonably even though there were only three people ahead of me.,speed_of_service,,4,positive,synthetic
CMT-000113,SVY-000113,GST-000113,BB-037,2024-01-13,occasional_guest,in_store,Drink quality feels inconsistent across visits to this location.,drink_consistency,,4,positive,synthetic
CMT-000114,SVY-000114,GST-000114,BB-076,2024-05-18,at_risk_guest,drive_thru,The line took forever even though there were only three people ahead of me and the app worked fine.,speed_of_service,mobile_app_issues,2,negative,synthetic
CMT-000115,SVY-000115,GST-000115,BB-069,2024-02-03,seasonal_product_explorer,drive_thru,Morning rush staffing could not keep up with the volume at the counter and rewards did not feel worthwhile.,speed_of_service,rewards_value,4,positive,synthetic
CMT-000116,SVY-000116,GST-000116,BB-081,2024-02-18,occasional_guest,in_store,Order was accurate and the barista confirmed my preferences and the drive-thru was backed up.,order_accuracy,drive_thru_experience,3,positive,synthetic
CMT-000117,SVY-000117,GST-000117,BB-088,2024-03-10,seasonal_product_explorer,delivery,Barista was warm and remembered my usual order.,staff_friendliness,,5,negative,synthetic
CMT-000118,SVY-000118,GST-000118,BB-006,2024-05-10,mobile_first_guest,mobile_order,"The latte tasted different than usual, and the line moved reasonably but mobile ordering was easy.",speed_of_service,mobile_app_issues,4,positive,synthetic
CMT-000119,SVY-000119,GST-000119,BB-066,2024-05-03,occasional_guest,in_store,"I like the seasonal drinks, but the price felt fair for the size.",price_value,,5,positive,synthetic
CMT-000120,SVY-000120,GST-000120,BB-039,2024-03-22,loyalty_regular,mobile_order,Window team was fast but the order was wrong at pickup.,drive_thru_experience,drink_consistency,5,neutral,synthetic
CMT-000121,SVY-000121,GST-000121,BB-080,2024-02-29,loyalty_regular,in_store,Tier benefits are unclear and hard to redeem.,rewards_value,,5,negative,synthetic
CMT-000123,SVY-000123,GST-000123,BB-044,2024-01-09,loyalty_regular,mobile_order,"Mobile ordering was easy, but my drink was ready on time when I arrived but the staff was friendly throughout.",mobile_app_issues,staff_friendliness,4,positive,synthetic
CMT-000124,SVY-000124,GST-000124,BB-051,2024-01-07,loyalty_regular,mobile_order,Drive-thru handoff was smooth even with a long line.,drive_thru_experience,,5,positive,synthetic
CMT-000125,SVY-000125,GST-000125,BB-028,2024-02-08,at_risk_guest,mobile_order,App crashed while I tried to customize my drink.,mobile_app_issues,,2,neutral,synthetic
CMT-000126,SVY-000126,GST-000126,BB-046,2024-03-26,occasional_guest,drive_thru,Tables were sticky and the restroom needed attention.,cleanliness,,4,negative,synthetic
CMT-000127,SVY-000127,GST-000127,BB-017,2024-03-17,seasonal_product_explorer,drive_thru,Drive-thru handoff was smooth even with a long line.,drive_thru_experience,,4,positive,synthetic
CMT-000128,SVY-000128,GST-000128,BB-053,2024-03-31,occasional_guest,mobile_order,Pickup timing was off and the ready notification came late.,mobile_app_issues,,4,negative,synthetic
CMT-000129,SVY-000129,GST-000129,BB-028,2024-06-09,price_sensitive_guest,in_store,Menu feels repetitive for frequent visitors and value was fair today.,seasonal_menu_interest,price_value,3,neutral,synthetic
CMT-000130,SVY-000130,GST-000130,BB-047,2024-03-29,at_risk_guest,in_store,The store was clean and well maintained during a busy afternoon.,cleanliness,,3,negative,synthetic
CMT-000131,SVY-000131,GST-000131,BB-044,2024-04-13,occasional_guest,in_store,Seasonal menu items are creative but portion sizes feel small.,seasonal_menu_interest,,2,negative,synthetic
CMT-000132,SVY-000132,GST-000132,BB-005,2024-01-02,seasonal_product_explorer,delivery,Loved the new seasonal drink and would order again.,seasonal_menu_interest,,5,negative,synthetic
CMT-000133,SVY-000133,GST-000133,BB-018,2024-04-07,loyalty_regular,mobile_order,Loved the new seasonal drink and would order again.,seasonal_menu_interest,,4,negative,synthetic
CMT-000134,SVY-000134,GST-000134,BB-089,2024-05-03,occasional_guest,drive_thru,Promo redemption made this visit feel like a good deal.,price_value,,4,negative,synthetic
CMT-000135,SVY-000135,GST-000135,BB-082,2024-02-04,price_sensitive_guest,in_store,The line moved reasonably even though there were only three people ahead of me and value was fair today.,speed_of_service,price_value,3,positive,synthetic
CMT-000136,SVY-000136,GST-000136,BB-041,2024-04-30,seasonal_product_explorer,delivery,The latte tasted different than usual and did not match my last visit and my order was correct.,drink_consistency,order_accuracy,4,positive,synthetic
CMT-000137,SVY-000137,GST-000137,BB-066,2024-06-11,price_sensitive_guest,mobile_order,The store was clean and the cashier was helpful.,staff_friendliness,,4,positive,synthetic
CMT-000138,SVY-000138,GST-000138,BB-054,2024-05-29,mobile_first_guest,mobile_order,Barista was warm and remembered my usual order.,staff_friendliness,,4,negative,synthetic
CMT-000139,SVY-000139,GST-000139,BB-047,2024-04-27,loyalty_regular,in_store,"The latte tasted different than usual, and the line took forever.",speed_of_service,,3,neutral,synthetic
CMT-000140,SVY-000140,GST-000140,BB-050,2024-04-04,loyalty_regular,mobile_order,Drive-thru lane was backed up and the speaker was hard to hear.,drive_thru_experience,,4,positive,synthetic
CMT-000141,SVY-000141,GST-000141,BB-059,2024-05-26,mobile_first_guest,in_store,Birthday reward made me feel valued as a member.,rewards_value,,1,positive,synthetic
CMT-000143,SVY-000143,GST-000143,BB-071,2024-02-13,occasional_guest,in_store,Window team was fast but the order was correct at pickup.,drive_thru_experience,,4,positive,synthetic
CMT-000144,SVY-000144,GST-000144,BB-059,2024-03-31,at_risk_guest,in_store,The latte tasted different than usual and did not match my last visit.,drink_consistency,,2,negative,synthetic
CMT-000145,SVY-000145,GST-000145,BB-037,2024-06-17,loyalty_regular,in_store,Team felt rushed and did not greet guests at the counter and rewards did not feel worthwhile.,staff_friendliness,rewards_value,4,neutral,synthetic
CMT-000146,SVY-000146,GST-000146,BB-084,2024-01-23,loyalty_regular,mobile_order,App crashed while I tried to customize my drink.,mobile_app_issues,,4,positive,synthetic
CMT-000147,SVY-000147,GST-000147,BB-059,2024-01-19,loyalty_regular,in_store,My order was wrong and the pickup shelf was confusing and loyalty perks helped.,order_accuracy,rewards_value,5,neutral,synthetic
CMT-000148,SVY-000148,GST-000148,BB-056,2024-01-27,loyalty_regular,mobile_order,My usual oat milk cortado was weaker and milkier than normal.,drink_consistency,,4,negative,synthetic
CMT-000149,SVY-000149,GST-000149,BB-082,2024-05-30,at_risk_guest,delivery,"I like the seasonal drinks, but the price feels high for the size.",price_value,drink_consistency,4,negative,synthetic
CMT-000151,SVY-000151,GST-000151,BB-067,2024-05-18,seasonal_product_explorer,mobile_order,App crashed while I tried to customize my drink and rewards did not feel worthwhile.,mobile_app_issues,rewards_value,4,positive,synthetic
CMT-000152,SVY-000152,GST-000152,BB-076,2024-02-10,occasional_guest,drive_thru,Customization notes were ignored on my mobile order.,order_accuracy,drive_thru_experience,3,negative,synthetic
CMT-000153,SVY-000153,GST-000153,BB-044,2024-03-06,mobile_first_guest,mobile_order,Barista was warm and remembered my usual order.,staff_friendliness,,4,positive,synthetic
CMT-000154,SVY-000154,GST-000154,BB-062,2024-02-13,occasional_guest,drive_thru,"Happy hour pricing helped, but regular menu prices still feel steep.",price_value,order_accuracy,4,negative,synthetic
CMT-000155,SVY-000155,GST-000155,BB-037,2024-03-01,seasonal_product_explorer,mobile_order,"Mobile ordering was easy, but my drink was not ready when I arrived.",mobile_app_issues,,4,negative,synthetic
CMT-000156,SVY-000156,GST-000156,BB-090,2024-04-01,loyalty_regular,drive_thru,I waited far too long for a simple drip coffee order.,speed_of_service,,4,neutral,synthetic
CMT-000157,SVY-000157,GST-000157,BB-001,2024-02-08,occasional_guest,drive_thru,"The latte tasted different than usual, and the line moved reasonably.",speed_of_service,,4,positive,synthetic
CMT-000158,SVY-000158,GST-000158,BB-034,2024-05-18,seasonal_product_explorer,in_store,Tables were sticky and the restroom needed attention.,cleanliness,,4,positive,synthetic
CMT-000159,SVY-000159,GST-000159,BB-064,2024-02-21,price_sensitive_guest,drive_thru,Drive-thru wait felt longer than the in-store line today.,drive_thru_experience,,3,negative,synthetic
CMT-000160,SVY-000160,GST-000160,BB-072,2024-01-30,at_risk_guest,in_store,"Mobile ordering was easy, but my drink was ready on time when I arrived.",mobile_app_issues,drive_thru_experience,1,positive,synthetic
CMT-000161,SVY-000161,GST-000161,BB-021,2024-06-02,price_sensitive_guest,mobile_order,Order was accurate and the barista confirmed my preferences.,order_accuracy,,5,negative,synthetic
CMT-000162,SVY-000162,GST-000162,BB-063,2024-03-04,seasonal_product_explorer,delivery,The line took forever even though there were only three people ahead of me.,speed_of_service,,5,neutral,synthetic
CMT-000163,SVY-000163,GST-000163,BB-079,2024-06-25,price_sensitive_guest,in_store,Prices feel high for the cup size I received.,price_value,,3,positive,synthetic
